edicao,ano,nome,qtd
84,2010,*caixa,1
84,2010,*contratado,6
84,2010,*ticket Banheiro,1
84,2010,Almoxarifado,11
84,2010,Almoxarifado Bebida,13
84,2010,Almoxarifado Doce,4
84,2010,Almoxarifado Souvenir,2
84,2010,Apoio,19
84,2010,Bar I,13
84,2010,Bar II,10
84,2010,Bar III,9
84,2010,Brinquedos,10
84,2010,Calabresa Brasa,13
84,2010,Calabresa Chapa I,14
84,2010,Calabresa Chapa II,12
84,2010,Chopp I,8
84,2010,Chopp II,7
84,2010,Churrasco Brasa,9
84,2010,Churrasco Chapa I,11
84,2010,Churrasco Chapa II,12
84,2010,Compras,2
84,2010,Convites,2
84,2010,Cozinha,34
84,2010,Distribuição de Alimentos,5
84,2010,Doce Cantina,6
84,2010,Doce I,10
84,2010,Doce II,8
84,2010,Equipe de Festa,10
84,2010,Externa,8
84,2010,Fé e Compromisso,22
84,2010,Fila,39
84,2010,Fogazza,6
84,2010,Fogazza I,136
84,2010,Fogazza II,67
84,2010,Fogazza Interna,3
84,2010,Fotógrafo,2
84,2010,Fricazza – Barraca,17
84,2010,Fricazza – Produção,14
84,2010,Interna da Festa,4
84,2010,Latinha I,7
84,2010,Latinha II,6
84,2010,Latinha III,6
84,2010,Leilão,10
84,2010,Macarrão I,16
84,2010,Macarrão II,18
84,2010,Macarrão III,21
84,2010,Macarrão Iv,15
84,2010,Manutenção,5
84,2010,Nova,23
84,2010,Pedaços de Amor - Barraca e Distribuição,16
84,2010,Pedaços de Amor – Produção,23
84,2010,Pessoal,10
84,2010,Pizza I,12
84,2010,Pizza II,12
84,2010,Polenta I,14
84,2010,Polenta II,10
84,2010,Portaria,19
84,2010,Prestadores de Serviços,4
84,2010,Recreação,22
84,2010,Relações Públicas,4
84,2010,Rifa,12
84,2010,Secretaria,2
84,2010,Setor a,19
84,2010,Setor B,19
84,2010,Setor C,18
84,2010,Setor D,19
84,2010,Souvenir Externo,7
84,2010,Souvenir Interno,14
84,2010,Supervisão Geral,2
84,2010,Ticket Banheiro,1
84,2010,Típica,17
84,2010,VIsual,24
