edicao,ano,nome,qtd
82,2008,Almoxarifado,13
82,2008,Almoxarifado Bebida,10
82,2008,Almoxarifado Doce,3
82,2008,Almoxarifado Souvenir,2
82,2008,Apoio,16
82,2008,Bar I,11
82,2008,Bar II,7
82,2008,Bar III,9
82,2008,Brinquedos,8
82,2008,Caixa*,2
82,2008,Calabresa Brasa,11
82,2008,Calabresa Chapa I,14
82,2008,Chopp I,8
82,2008,Chopp II,7
82,2008,Churrasco Brasa I,8
82,2008,Churrasco Brasa II,10
82,2008,Churrasco Chapa I,10
82,2008,Churrasco Chapa II,11
82,2008,Compras,4
82,2008,Contratado,4
82,2008,Convites,4
82,2008,Cozinha,39
82,2008,Cozinha*,2
82,2008,Distribuição de Alimentos,4
82,2008,Doce Cantina,5
82,2008,Doce I,9
82,2008,Doce II,8
82,2008,Equipe de Festa,10
82,2008,Externa,10
82,2008,Externa Banheiro*,1
82,2008,Fé e Compromisso,22
82,2008,Fila,35
82,2008,Fogazza I,98
82,2008,Fogazza II,54
82,2008,Fogazza Interna,3
82,2008,Fricazza,17
82,2008,Informatica,3
82,2008,Interna da Festa,4
82,2008,Interna da Festa*,2
82,2008,Latinha I,8
82,2008,Latinha II,6
82,2008,Latinha III,5
82,2008,Latinha Iv,5
82,2008,Leilão,7
82,2008,Lista de Espera,90
82,2008,Macarrão I,15
82,2008,Macarrão II,16
82,2008,Macarrão III,13
82,2008,Macarrão Iv,11
82,2008,Manutenção,1
82,2008,Marketing,2
82,2008,Pedaços de Amor,30
82,2008,Pessoal,4
82,2008,Pizza I,11
82,2008,Pizza II,10
82,2008,Polenta I,9
82,2008,Polenta II,10
82,2008,Portaria,20
82,2008,Recreação,39
82,2008,Recreação*,1
82,2008,Relações Públicas,4
82,2008,Religioso,3
82,2008,Rifa,9
82,2008,Secretaria,2
82,2008,Setor a,22
82,2008,Setor B,21
82,2008,Setor C,18
82,2008,Setor D,22
82,2008,Souvenir Externo,6
82,2008,Souvenir Interno,11
82,2008,Supervisão Geral,1
82,2008,Típica,10
82,2008,VInagrete*,2
82,2008,VIsual,19
