edicao,ano,nome,qtd
97,2023,Alimentação Equipistas,8
97,2023,Almoxarifado,9
97,2023,Almoxarifado Bebidas,8
97,2023,Almoxarifado Doce,6
97,2023,Almoxarifado Souvenir,5
97,2023,Apoio,25
97,2023,Apoio Dom Orione,12
97,2023,Apoio Interna,2
97,2023,Apoio Pessoal,2
97,2023,Bar I,7
97,2023,Bar II,6
97,2023,Brinquedo,3
97,2023,Café,4
97,2023,Calabresa Brasa,15
97,2023,Calabresa Chapa I,15
97,2023,Calabresa Chapa II,13
97,2023,Churrasco Brasa,8
97,2023,Churrasco Chapa,11
97,2023,Compras,2
97,2023,Contratados,2
97,2023,Controle Pessoal,3
97,2023,Convites,2
97,2023,Cozinha,39
97,2023,Distribuição de Alimentos,6
97,2023,Doce Cantina,9
97,2023,Doce I,11
97,2023,Doces Italianos I,8
97,2023,Doces Italianos II,6
97,2023,Doces Italianos III,7
97,2023,Doces Italianos Iv,8
97,2023,Enfermeira,1
97,2023,Equipe Suplente,27
97,2023,Externa,2
97,2023,Externa Setor I,2
97,2023,Externa Setor II,2
97,2023,Externa Setor III,2
97,2023,Externa Setor Iv,2
97,2023,Fé e Compromisso,24
97,2023,Fila,69
97,2023,Fogazza I,4
97,2023,Fogazza I Barraca,23
97,2023,Fogazza I Produção,109
97,2023,Fogazza II,4
97,2023,Fogazza II Barraca,9
97,2023,Fogazza II Produção,58
97,2023,Fogazza III,4
97,2023,Fogazza III Barraca,17
97,2023,Fogazza III Produção,63
97,2023,Fogazza Interna,4
97,2023,Fogazza Massa,6
97,2023,Fogliata,8
97,2023,Fricazza Barraca,16
97,2023,Fricazza Produção,19
97,2023,Italianinhos,14
97,2023,Latinha I,7
97,2023,Latinha II,5
97,2023,Latinha III,5
97,2023,Latinha Iv,5
97,2023,Latinha V,5
97,2023,Leilão,7
97,2023,Logística,12
97,2023,Macarrão I,13
97,2023,Macarrão II,15
97,2023,Macarrão III,17
97,2023,Macarrão Iv,15
97,2023,Manutenção,9
97,2023,Memorial,11
97,2023,Mídia,6
97,2023,Pessoal Informática,5
97,2023,Pizza II,7
97,2023,Polenta I,7
97,2023,Polenta II,8
97,2023,Polenta Produção,7
97,2023,Portaria,19
97,2023,Recepçao de Produtos,2
97,2023,Recreação,40
97,2023,Relações Públicas e Marketing,7
97,2023,Religioso,8
97,2023,Rifa,15
97,2023,Secretaria,7
97,2023,Setor a,16
97,2023,Setor B,15
97,2023,Setor C,16
97,2023,Setor D,18
97,2023,Som e Projeção,3
97,2023,Souvenir Externo,5
97,2023,Souvenir Interno,13
97,2023,Supervisão Alimentação,2
97,2023,Supervisão Apoio,2
97,2023,Supervisão Externa,2
97,2023,Supervisão Interna,2
97,2023,Supervisão Pessoal,2
97,2023,Típica,11
97,2023,Tiramissu,8
97,2023,VInho I,6
97,2023,VInho II,6
97,2023,VIsual,8
