edicao,ano,nome,qtd
96,2022,Alimentação,2
96,2022,Alimentação Equipistas,8
96,2022,Almox. Bebidas,10
96,2022,Almox. Doce,4
96,2022,Almox. Souvenir,6
96,2022,Almoxarifado,15
96,2022,Aplicativo,1
96,2022,Apoio,27
96,2022,Apoio Dom Orione,14
96,2022,Bar I,6
96,2022,Bar II,6
96,2022,Brinquedo,3
96,2022,Café,4
96,2022,Calabresa Brasa,16
96,2022,Calabresa Chapa I,13
96,2022,Calabresa Chapa II,11
96,2022,Churrasco Brasa,9
96,2022,Churrasco Chapa,11
96,2022,Compras,3
96,2022,Controle Pessoal,4
96,2022,Convites,2
96,2022,Cozinha,55
96,2022,Delivery,5
96,2022,Distribuição de Alimentos,11
96,2022,Doce Cantina,7
96,2022,Doce I,9
96,2022,Doce II,1
96,2022,Doces Italianos I,5
96,2022,Doces Italianos II,5
96,2022,Doces Italianos III,6
96,2022,Doces Italianos Iv,8
96,2022,Equipe Suplente,47
96,2022,Externa,2
96,2022,Externa Setor I,2
96,2022,Externa Setor II,2
96,2022,Externa Setor III,2
96,2022,Fé e Compromisso,16
96,2022,Fila,65
96,2022,Fogazza I Barraca,25
96,2022,Fogazza I Produção,107
96,2022,Fogazza II Barraca,23
96,2022,Fogazza II Produção,62
96,2022,Fogazza III Barraca,19
96,2022,Fogazza III Produção,61
96,2022,Fogazza Interna,4
96,2022,Fogazza Massa,4
96,2022,Fricazza Barraca,13
96,2022,Fricazza Produção,16
96,2022,Gestão de Almoxarifados,2
96,2022,Interna Festa,2
96,2022,Italianinhos,18
96,2022,Latinha I,5
96,2022,Latinha II,7
96,2022,Latinha III,5
96,2022,Latinha Iv,5
96,2022,Latinha V,5
96,2022,Latinha VI,5
96,2022,Latinha VIi,6
96,2022,Leilão,6
96,2022,Logística,12
96,2022,Macarrão I,19
96,2022,Macarrão II,14
96,2022,Macarrão III,16
96,2022,Macarrão Iv,13
96,2022,Manutenção,10
96,2022,Memorial,9
96,2022,Mídia,4
96,2022,Pessoal,2
96,2022,Pessoal Informática,7
96,2022,Pizza I,8
96,2022,Pizza II,7
96,2022,Polenta I,8
96,2022,Polenta II,7
96,2022,Polenta Produção,7
96,2022,Portaria,16
96,2022,Prestadores de Serviços,3
96,2022,Recepção de Produtos,2
96,2022,Recreação,18
96,2022,Relações Públicas,5
96,2022,Religioso,7
96,2022,Rifa,15
96,2022,Sac,2
96,2022,Secretaria,8
96,2022,Setor a,19
96,2022,Setor B,14
96,2022,Setor C,16
96,2022,Setor D,15
96,2022,Souvenir Externo,6
96,2022,Souvenir Interno,11
96,2022,Supervisão Alimentação,2
96,2022,Supervisão Apoio,2
96,2022,Supervisão Externa,2
96,2022,Supervisão Interna,2
96,2022,Supervisão Pessoal,2
96,2022,Típica,13
96,2022,Tiramisu,7
96,2022,VInho I,5
96,2022,VInho II,6
96,2022,VIsual,11
