edicao,ano,nome,qtd
93,2019,*reserva,1567
93,2019,Alimentação,2
93,2019,Almox. Bebidas,11
93,2019,Almox. Doce,4
93,2019,Almox. Souvenir,6
93,2019,Almoxarifado,15
93,2019,Apoio,23
93,2019,Apoio Dom Orione,16
93,2019,Bar I Cantina,6
93,2019,Bar II Cantina,6
93,2019,Brinquedo,3
93,2019,Café,3
93,2019,Calabresa Brasa,16
93,2019,Calabresa Chapa I,13
93,2019,Calabresa Chapa II,12
93,2019,Churrasco Brasa,10
93,2019,Churrasco Chapa I,10
93,2019,Churrasco Chapa II,10
93,2019,Compras,2
93,2019,Controle Pessoal,4
93,2019,Convites,5
93,2019,Cozinha,32
93,2019,Distribuição de Alimentos,11
93,2019,Doce Cantina,7
93,2019,Doce I,10
93,2019,Doce II,9
93,2019,Doces Italianos I,5
93,2019,Doces Italianos II,5
93,2019,Doces Italianos III,6
93,2019,Equipe Suplente,29
93,2019,Externa,2
93,2019,Externa Setor I,2
93,2019,Externa Setor II,2
93,2019,Externa Setor III,2
93,2019,Falecido,1
93,2019,Fé e Compromisso,23
93,2019,Ficha,22
93,2019,Fila,65
93,2019,Fogazza I Barraca,36
93,2019,Fogazza I Prod.,113
93,2019,Fogazza II Barraca,20
93,2019,Fogazza II Prod.,61
93,2019,Fogazza III Barraca,23
93,2019,Fogazza III Prod.,52
93,2019,Fogazza Interna,4
93,2019,Fogazza Massa,5
93,2019,Fricazza Barraca,14
93,2019,Fricazza Produção,15
93,2019,Interna da Festa,2
93,2019,Italianinhos,15
93,2019,Latinha I,5
93,2019,Latinha II,6
93,2019,Latinha III,7
93,2019,Latinha Iv,5
93,2019,Latinha V,6
93,2019,Latinha VI,5
93,2019,Latinha VIi,5
93,2019,Leilão,4
93,2019,Logistica,22
93,2019,Macarrão I,12
93,2019,Macarrão II,14
93,2019,Macarrão III,15
93,2019,Macarrão Iv,14
93,2019,Manutenção,8
93,2019,Marketing,4
93,2019,Midia,10
93,2019,Pessoal,2
93,2019,Pessoal Informatica,5
93,2019,Pizza I,9
93,2019,Pizza II,8
93,2019,Polenta I,7
93,2019,Polenta II,8
93,2019,Polenta Produção,7
93,2019,Portaria,16
93,2019,Prestadores de Serviços,3
93,2019,Recepção de Produtos,3
93,2019,Recreação,24
93,2019,Rel. Públicas,6
93,2019,Religioso,8
93,2019,Rifa,16
93,2019,Secretaria,2
93,2019,Setor a,16
93,2019,Setor B,15
93,2019,Setor C,16
93,2019,Setor D,16
93,2019,Souvenir Externo,6
93,2019,Souvenir Interno,10
93,2019,Supervisão Alimentação,2
93,2019,Supervisão Apoio,2
93,2019,Supervisão Externa,2
93,2019,Supervisão Geral,1
93,2019,Supervisão Interna,2
93,2019,Supervisão Pessoal,2
93,2019,Típica,16
93,2019,VInho I,6
93,2019,VInho II,6
93,2019,VIsual,9
