edicao,ano,nome,qtd
79,2005,Almoxarifado,12
79,2005,Almoxarifado Bebida,6
79,2005,Almoxarifado Doce,4
79,2005,Almoxarifado Souvenir,3
79,2005,Apoio Externa,4
79,2005,Bar I,6
79,2005,Bar II,4
79,2005,Bolinho de Chuva,7
79,2005,Brinquedo,11
79,2005,Calabresa Brasa,14
79,2005,Calabresa Chapa,11
79,2005,Cantina*,1
79,2005,Churrasco Brasa,12
79,2005,Churrasco Chapa,9
79,2005,Churros,13
79,2005,Compras,4
79,2005,Contratado,2
79,2005,Convites,3
79,2005,Cozinha,33
79,2005,Cozinha*,6
79,2005,Crustoli,19
79,2005,Doce Cantina,4
79,2005,Doce I,11
79,2005,Doce II,8
79,2005,Equipe de Festa,10
79,2005,Estacionamento*,1
79,2005,Externa,2
79,2005,Fé e Compromisso,28
79,2005,Fila,25
79,2005,Finanças,15
79,2005,Fogazza,99
79,2005,Fogazza Interna,4
79,2005,Fogazza*,1
79,2005,Fricazza,15
79,2005,Imprensa,1
79,2005,Informática,4
79,2005,Interna da Festa,2
79,2005,Latinha I,5
79,2005,Latinha II,4
79,2005,Latinha III,5
79,2005,Latinha Iv,5
79,2005,Latinha V,6
79,2005,Latinha VI,5
79,2005,Leilão,7
79,2005,Macarrão I,16
79,2005,Macarrão II,17
79,2005,Macarrão III,12
79,2005,Macarrão Iv,14
79,2005,Macarrão*,1
79,2005,Manutenção,3
79,2005,Marketing,2
79,2005,Mortadela Chapa,9
79,2005,Pedaços de Amor,23
79,2005,Pessoal,4
79,2005,Pizza I,13
79,2005,Pizza II,13
79,2005,Polenta Bolognesa,9
79,2005,Portaria,16
79,2005,Portaria*,1
79,2005,Recreação,22
79,2005,Relações Públicas,2
79,2005,Religioso,2
79,2005,Rifa,15
79,2005,Secretaria,2
79,2005,Setor a,16
79,2005,Setor B,17
79,2005,Setor C,18
79,2005,Setor D,17
79,2005,Souvenir Externo,8
79,2005,Souvenir Interno,9
79,2005,Tesouraria*,4
79,2005,Típica,14
79,2005,VInho I,9
79,2005,VInho II,6
79,2005,VIsual,16
