edicao,ano,nome,qtd
94,2020,Alimentação,2
94,2020,Almox. Bebidas,10
94,2020,Almox. Doce,4
94,2020,Almox. Souvenir,6
94,2020,Almoxarifado,15
94,2020,Apoio,24
94,2020,Apoio Dom Orione,13
94,2020,Bar I Cantina,6
94,2020,Bar II Cantina,6
94,2020,Brinquedos,3
94,2020,Café,3
94,2020,Calabresa Brasa I,16
94,2020,Calabresa Brasa II,16
94,2020,Calabresa Chapa I,14
94,2020,Calabresa Chapa II,15
94,2020,Churrasco Brasa I,10
94,2020,Churrasco Brasa II,10
94,2020,Compras,2
94,2020,Controle Pessoal,4
94,2020,Convites,4
94,2020,Cozinha,31
94,2020,Distribuição de Alimentos,12
94,2020,Doce,10
94,2020,Doce Cantina,8
94,2020,Doces Italianos I,5
94,2020,Doces Italianos II,6
94,2020,Doces Italianos III,5
94,2020,Doces Italianos Iv,5
94,2020,Equipe Suplente,2
94,2020,Externa,2
94,2020,Externa Setor I,2
94,2020,Externa Setor II,2
94,2020,Externa Setor III,2
94,2020,Fé e Compromisso,29
94,2020,Fila,62
94,2020,Fogazza I Barraca,35
94,2020,Fogazza I Prod.,113
94,2020,Fogazza II Barraca,25
94,2020,Fogazza II Prod.,50
94,2020,Fogazza III Barraca,25
94,2020,Fogazza III Prod.,51
94,2020,Fogazza Interna,3
94,2020,Fogazza Massa,4
94,2020,Fricazza Barraca,14
94,2020,Fricazza Produção,17
94,2020,Interna da Festa,2
94,2020,Latinha I,6
94,2020,Latinha II,6
94,2020,Latinha III,6
94,2020,Latinha Iv,6
94,2020,Latinha V,6
94,2020,Latinha VI,6
94,2020,Leilão,8
94,2020,Logistica,23
94,2020,Macarrão I,14
94,2020,Macarrão II,14
94,2020,Macarrão III,14
94,2020,Macarrão Iv,14
94,2020,Manutenção,9
94,2020,Marketing,4
94,2020,Midia,1
94,2020,Pessoal,2
94,2020,Pessoal Informatica,3
94,2020,Pizza I,8
94,2020,Pizza II,8
94,2020,Polenta I,8
94,2020,Polenta II,8
94,2020,Polenta Produção,7
94,2020,Portaria,16
94,2020,Prestadores de Serviços,2
94,2020,Recepção de Produtos,2
94,2020,Recreação,3
94,2020,Rel. Públicas,6
94,2020,Reserva,1
94,2020,Rifa,18
94,2020,Secretaria,2
94,2020,Setor a,16
94,2020,Setor B,16
94,2020,Setor C,16
94,2020,Setor D,16
94,2020,Souvenir Externo,5
94,2020,Supervisão Alimentação,2
94,2020,Supervisão Apoio,2
94,2020,Supervisão Externa,2
94,2020,Supervisão Interna,2
94,2020,Supervisão Pessoal,2
94,2020,Típica,15
94,2020,VInho I,6
94,2020,VInho II,6
94,2020,VInho III,6
94,2020,VIsual,9
