edicao,ano,nome,qtd
74,2000,Almoxarifado,5
74,2000,Apoio Externa,2
74,2000,Área de Lazer,5
74,2000,Bar I,4
74,2000,Bar II,4
74,2000,Calabresa Brasa,8
74,2000,Calabresa Chapa,9
74,2000,Calabreza Chapa,1
74,2000,Cantina,2
74,2000,Chop 1,1
74,2000,Chopp II,5
74,2000,Churrasco,8
74,2000,Compras,4
74,2000,Convites,2
74,2000,Cozinha,20
74,2000,Doce,1
74,2000,Doce 2,1
74,2000,Doce Cantina,3
74,2000,Doce I,9
74,2000,Doce II,9
74,2000,Equipe de Festa,7
74,2000,Externa,1
74,2000,Fé e Compromisso,14
74,2000,Finanças,12
74,2000,Fogazza,56
74,2000,Frango Frito,6
74,2000,Fricazza,14
74,2000,Informática,2
74,2000,Latinha I,7
74,2000,Latinha II,5
74,2000,Latinha III,5
74,2000,Latinha Iv,6
74,2000,Leilão,6
74,2000,Macarrão 1,1
74,2000,Macarrão I,12
74,2000,Macarrão II,17
74,2000,Macarrão III,17
74,2000,Pedaços do Amor,3
74,2000,Pedaços do Amor 2,9
74,2000,Pizza,11
74,2000,Polenta Bolognesa,12
74,2000,Polenta Frita,8
74,2000,Portaria,8
74,2000,Recreação,11
74,2000,Rifa,4
74,2000,Rua,1
74,2000,Secretaria,1
74,2000,Setor a,11
74,2000,Setor B,10
74,2000,Setor C,8
74,2000,Setor D,9
74,2000,Souvenir,8
74,2000,Souvenir Externo,6
74,2000,Típica,8
74,2000,VInho,9
74,2000,VIsual,13
