edicao,ano,nome,qtd
81,2007,Almoxarifado,13
81,2007,Almoxarifado Bebida,7
81,2007,Almoxarifado Doce,3
81,2007,Almoxarifado Souvenir,3
81,2007,Apoio,15
81,2007,Bar I,9
81,2007,Bar II,8
81,2007,Bar III,7
81,2007,Brinquedo,10
81,2007,Calabresa Brasa,12
81,2007,Calabresa Chapa,12
81,2007,Chopp I,7
81,2007,Chopp II,6
81,2007,Churrasco Brasa I,10
81,2007,Churrasco Brasa II,9
81,2007,Churrasco Chapa,8
81,2007,Compras,2
81,2007,Contratado,4
81,2007,Convites,4
81,2007,Cozinha,30
81,2007,Delicias da Nona,17
81,2007,Distribuição de Alimentos,2
81,2007,Doce Cantina,5
81,2007,Doce I,9
81,2007,Doce II,10
81,2007,Equipe de Festa,10
81,2007,Externa,10
81,2007,Fé e Compromisso,16
81,2007,Fila,34
81,2007,Fogazza I,101
81,2007,Fogazza II,51
81,2007,Fogazza Interna,3
81,2007,Foto Ok,1
81,2007,Fricazza,21
81,2007,Informatica,4
81,2007,Interna da Festa,2
81,2007,Latinha I,5
81,2007,Latinha II,6
81,2007,Latinha III,5
81,2007,Latinha Iv,6
81,2007,Leilão,7
81,2007,Macarrão I,12
81,2007,Macarrão II,14
81,2007,Macarrão III,11
81,2007,Macarrão Iv,15
81,2007,Manutenção,5
81,2007,Marketing,2
81,2007,Mortadela Chapa,9
81,2007,Pedaços de Amor,25
81,2007,Pessoal,4
81,2007,Pizza I,11
81,2007,Pizza II,10
81,2007,Polenta Bolognesa,10
81,2007,Portaria,18
81,2007,Recreação,31
81,2007,Relações Públicas,4
81,2007,Rifa,11
81,2007,Secretaria,2
81,2007,Setor a,16
81,2007,Setor B,17
81,2007,Setor C,18
81,2007,Setor D,18
81,2007,Souvenir Externo,6
81,2007,Souvenir Interno,10
81,2007,Supervisão Geral,2
81,2007,Típica,11
81,2007,VIsual,14
